feature,importance
Interest_Rate,0.09104475861279664
Credit_Mix,0.059710265194939584
Outstanding_Debt,0.058568662358031015
Delay_from_due_date,0.05805424460195486
Num_Credit_Inquiries,0.04651161017163718
ID,0.042591721584889636
Changed_Credit_Limit,0.04037740650772084
Num_Credit_Card,0.03959705000596845
Credit_History_Age,0.03800169347721042
Monthly_Balance,0.0357243942293522
Monthly_Inhand_Salary,0.03464549819646075
Credit_Utilization_Ratio,0.03425921660980112
Annual_Income,0.033855587432947115
Num_Bank_Accounts,0.03282693538457496
Amount_invested_monthly,0.03257487499911496
Customer_ID,0.0324573231399563
Total_EMI_per_month,0.032022022834917376
SSN,0.030939613614039643
Age,0.030395126161967365
Name,0.029557732702583467
Type_of_Loan,0.02937922284298872
Num_of_Loan,0.02725754777790491
Num_of_Delayed_Payment,0.026102388749940836
Payment_of_Min_Amount,0.023133764549209554
Occupation,0.021688139248261074
Month,0.021509242828076328
Payment_Behaviour,0.01721395618275483
